domain,task_id,baseline_score,treatment_score,delta,baseline_correctness,treatment_correctness,baseline_reasoning,treatment_reasoning,baseline_completeness,treatment_completeness,baseline_format,treatment_format,model
mmlu,mmlu_01,52.75,56.5,3.75,60.0,60.0,65.0,60.0,25.0,50.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_02,46.75,56.0,9.25,20.0,40.0,65.0,70.0,75.0,75.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_03,58.0,54.25,-3.75,20.0,20.0,100.0,85.0,50.0,50.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_04,50.5,21.75,-28.75,20.0,20.0,80.0,55.0,75.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_05,55.5,61.75,6.25,20.0,20.0,90.0,95.0,50.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_06,50.5,21.75,-28.75,20.0,20.0,90.0,55.0,25.0,0.0,100.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_07,36.75,43.0,6.25,20.0,20.0,65.0,70.0,25.0,50.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_08,43.0,54.25,11.25,20.0,20.0,70.0,85.0,50.0,50.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_09,64.25,43.0,-21.25,20.0,20.0,85.0,70.0,100.0,50.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
mmlu,mmlu_10,64.25,58.0,-6.25,20.0,20.0,85.0,80.0,100.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_01,56.0,46.0,-10.0,40.0,40.0,70.0,70.0,75.0,25.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_02,56.5,86.75,30.25,60.0,95.0,80.0,95.0,25.0,50.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_03,76.5,67.75,-8.75,60.0,60.0,90.0,95.0,75.0,25.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_04,43.5,21.75,-21.75,40.0,20.0,60.0,55.0,25.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_05,74.0,65.25,-8.75,60.0,60.0,80.0,85.0,75.0,25.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_06,55.5,74.25,18.75,70.0,70.0,60.0,85.0,25.0,50.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_07,56.75,68.0,11.25,70.0,70.0,65.0,80.0,25.0,25.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_08,95.5,85.5,-10.0,95.0,95.0,90.0,90.0,100.0,50.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_09,85.5,56.75,-28.75,70.0,70.0,90.0,65.0,100.0,25.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
gsm8k,gsm8k_10,62.75,70.25,7.5,60.0,60.0,65.0,85.0,75.0,50.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_01,76.5,60.25,-16.25,60.0,60.0,90.0,75.0,75.0,50.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_02,60.75,70.25,9.5,5.0,60.0,95.0,85.0,100.0,50.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_03,63.5,44.25,-19.25,40.0,20.0,90.0,75.0,50.0,50.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_04,64.0,21.75,-42.25,60.0,20.0,70.0,55.0,75.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_05,81.5,72.75,-8.75,60.0,60.0,90.0,95.0,100.0,50.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_06,65.25,75.25,10.0,60.0,60.0,85.0,85.0,25.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_07,59.0,74.75,15.75,60.0,40.0,70.0,95.0,50.0,100.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_08,54.0,55.25,1.25,60.0,60.0,70.0,75.0,25.0,25.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_09,68.5,55.25,-13.25,40.0,60.0,90.0,75.0,75.0,25.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
hellaswag,hellaswag_10,43.5,21.75,-21.75,40.0,20.0,60.0,55.0,25.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
